,SalePrice
0,2085
1,1815
2,2235
3,14
4,25
5,143
6,307
7,2
8,1299
9,118
10,1295
11,345
12,144
13,2795
14,157
15,132
16,149
17,9
18,159
19,139
20,3253
21,1394
22,23
23,1299
24,154
25,2563
26,1348
27,306
28,2075
29,685
30,4
31,14935
32,1799
33,1655
34,2775
35,309
36,145
37,153
38,109
39,82
40,16
41,17
42,144
43,13025
44,141
45,3199
46,239686
47,2497
48,113
49,127
50,177
51,1145
52,11
53,385
54,13
55,1805
56,1725
57,1965
58,43878
59,1249
60,158
61,101
62,2025
63,14
64,2195
65,317
66,18
67,226
68,8
69,225
70,244
71,1295
72,185
73,1449
74,1074
75,91
76,13575
77,127
78,1365
79,11
80,1935
81,1535
82,245
83,1265
84,1685
85,26
86,174
87,1645
88,85
89,1236
90,1099
91,986
92,1635
93,1339
94,20475
95,185
96,214
97,9475
98,83
99,12895
100,205
101,178
102,118964
103,1989
104,1695
105,25
106,1
107,115
108,115
109,19
110,1369
111,18
112,38397
113,217
114,2595
115,176
116,139
117,155
118,32
119,16399
120,18
121,1
122,136
123,1539
124,181
125,845
126,128
127,87
128,155
129,15
130,226
131,244
132,15075
133,22
134,18
135,174
136,143
137,171
138,23
139,2315
140,115
141,26
142,166
143,204
144,125
145,13
146,105
147,2225
148,141
149,115
150,122
151,372402
152,19
153,235
154,125
155,79
156,1095
157,2695
158,2549
159,32
160,1625
161,4125
162,22
163,1032
164,152
165,1275
166,19
167,325624
168,1835
169,228
170,1285
171,215
172,239
173,163
174,184
175,243
176,211
177,1725
178,501837
179,1
180,177
181,2001
182,12
183,2
184,127
185,475
186,173
187,135
188,153337
189,286
190,315
191,184
192,192
193,13
194,127
195,1485
196,311872
197,235
198,104
199,2749
200,14
201,1715
202,112
203,149
204,11
205,1805
206,1439
207,141
208,277
209,145
210,98
211,186
212,252678
213,156
214,16175
215,13445
216,21
217,107
218,3115
219,16724
220,2049
221,2
222,1799
223,97
224,38625
225,112
226,29
227,106
228,125
229,1925
230,148
231,403
232,945
233,1282
234,2165
235,895
236,1855
237,1945
238,318
239,113
240,2625
241,1105
242,79
243,12
244,205
245,2415
246,137
247,14
248,18
249,277
250,765
251,235
252,173
253,158
254,145
255,23
256,2075
257,22
258,2315
259,97
260,176
261,276
262,151
263,13
264,73
265,1755
266,185
267,1795
268,1205
269,148
270,266
271,2415
272,29
273,139
274,1245
275,205
276,201
277,141
278,415298
279,192
280,2285
281,185
282,2075
283,2446
284,1792
285,1647
286,159
287,88
288,122
289,153575
290,23323
291,1359
292,131
293,235
294,167
295,1425
296,152
297,239
298,175
299,1585
300,157
301,267
302,205
303,1499
304,295
305,3059
306,225
307,895
308,825
309,36
310,1656
311,132
312,1199
313,375
314,178
315,1885
316,26
317,27
318,26
319,1875
320,342643
321,354
322,301
323,126175
324,242
325,87
326,324
327,14525
328,2145
329,78
330,119
331,139
332,284
333,207
334,192
335,22895
336,377426
337,214
338,2025
339,155
340,2029
341,82
342,875
343,266
344,85
345,1402
346,1515
347,1575
348,154
349,437154
350,318061
351,19
352,95
353,1059
354,14
355,1775
356,173
357,134
358,13
359,28
360,156
361,145
362,1985
363,118
364,19
365,147
366,159
367,165
368,132
369,162
370,1724
371,134432
372,125
373,123
374,2195
375,61
376,148
377,34
378,394432
379,179
380,127
381,18775
382,2135
383,76
384,24
385,192
386,81
387,125
388,191
389,426
390,119
391,215
392,1065
393,1
394,109
395,129
396,123
397,1695
398,67
399,241
400,2455
401,16499
402,108
403,258
404,168
405,15
406,115
407,177
408,28
409,33975
410,6
411,145
412,222
413,115
414,228
415,181134
416,1495
417,239
418,126
419,142
420,2063
421,215
422,113
423,315
424,139
425,135
426,275
427,109008
428,1954
429,175
430,854
431,799
432,1225
433,181
434,81
435,212
436,116
437,119
438,9035
439,11
440,555
441,118
442,1629
443,1725
444,21
445,1275
446,19
447,1999
448,1195
449,12
450,11
451,28
452,204
453,21
454,188
455,1755
456,98
457,256
458,161
459,11
460,263435
461,155
462,62383
463,1887
464,124
465,17874
466,167
467,1465
468,25
469,187
470,212
471,19
472,148
473,44
474,251
475,1325
476,2089
477,38
478,297
479,89471
480,326
481,374
482,155
483,164
484,1325
485,147
486,156
487,175
488,16
489,86
490,115
491,133
492,172785
493,155
494,913
495,349
496,43
497,184
498,13
499,12
500,113
501,2267
502,14
503,289
504,147
505,1245
506,215
507,2083
508,161
509,1245
510,1649
511,202665
512,1299
513,134
514,965
515,402861
516,158
517,265
518,211
519,234
520,10625
521,15
522,159
523,18475
524,31575
525,176
526,132
527,446261
528,86
529,200624
530,175
531,128
532,1075
533,393
534,178
535,1075
536,188
537,11125
538,158
539,272
540,315
541,248
542,21325
543,133
544,179665
545,229
546,21
547,1295
548,125
549,263
550,14
551,1125
552,2555
553,108
554,284
555,113
556,141
557,108
558,175
559,234
560,1215
561,17
562,108
563,185
564,268
565,128
566,325
567,214
568,3166
569,13596
570,1426
571,12
572,2245
573,17
574,139
575,1185
576,145
577,1645
578,146
579,1315
580,1819
581,253293
582,1185
583,325
584,133
585,3699
586,13
587,137
588,143
589,795
590,1859
591,45195
592,138
593,14
594,11
595,319
596,114504
597,194201
598,2175
599,151
600,275
601,141
602,22
603,151
604,221
605,205
606,152
607,225
608,3591
609,1185
610,313
611,148
612,2615
613,147
614,755
615,1375
616,1832
617,1055
618,314813
619,305
620,67
621,24
622,135
623,1685
624,16515
625,16
626,1399
627,153
628,135
629,1685
630,124
631,2095
632,825
633,1394
634,144
635,2
636,6
637,93
638,85
639,264561
640,274
641,226
642,345
643,152
644,370878
645,14325
646,983
647,155
648,155
649,845
650,20595
651,108
652,191
653,135
654,35
655,88
656,1455
657,149
658,975
659,167
660,1979
661,402
662,11
663,1375
664,423
665,2305
666,129
667,1935
668,168
669,1375
670,1735
671,1036
672,165
673,2575
674,14
675,1485
676,87
677,1095
678,3725
679,1285
680,143
681,159434
682,173
683,285
684,221
685,2075
686,227875
687,1488
688,392
689,1947
690,141
691,755
692,335
693,10848
694,1415
695,176
696,89
697,1235
698,1385
699,196
700,3125
701,14
702,361919
703,14
704,213
705,55
706,302
707,254
708,17954
709,1099
710,52
711,102776
712,189
713,129
714,1305
715,165
716,1595
717,157
718,341
719,1285
720,275
721,143
722,1245
723,135
724,32
725,1205
726,222
727,1945
